udp,orig=(src=65.10.10.244,dst=65.10.11.133,sport=50985,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.244,sport=6081,dport=50985)
udp,orig=(src=65.10.11.133,dst=65.10.11.158,sport=33131,dport=6081),reply=(src=65.10.11.158,dst=65.10.11.133,sport=6081,dport=33131)
udp,orig=(src=65.10.11.161,dst=65.10.11.133,sport=25470,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.161,sport=6081,dport=25470)
udp,orig=(src=65.10.18.151,dst=65.10.11.133,sport=42381,dport=6081),reply=(src=65.10.11.133,dst=65.10.18.151,sport=6081,dport=42381)
udp,orig=(src=65.10.11.75,dst=65.10.11.133,sport=49211,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.75,sport=6081,dport=49211)
udp,orig=(src=65.10.11.84,dst=65.10.11.133,sport=63303,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.84,sport=6081,dport=63303)
udp,orig=(src=65.10.11.133,dst=65.10.11.174,sport=65141,dport=6081),reply=(src=65.10.11.174,dst=65.10.11.133,sport=6081,dport=65141)
udp,orig=(src=65.10.11.76,dst=65.10.11.133,sport=61618,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.76,sport=6081,dport=61618)
udp,orig=(src=65.10.11.180,dst=65.10.11.133,sport=38336,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.180,sport=6081,dport=38336)
udp,orig=(src=65.10.10.198,dst=65.10.11.133,sport=59298,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.198,sport=6081,dport=59298)
udp,orig=(src=65.10.11.133,dst=65.10.18.18,sport=21070,dport=6081),reply=(src=65.10.18.18,dst=65.10.11.133,sport=6081,dport=21070)
udp,orig=(src=65.10.11.133,dst=65.10.11.108,sport=25774,dport=6081),reply=(src=65.10.11.108,dst=65.10.11.133,sport=6081,dport=25774)
udp,orig=(src=65.10.11.122,dst=65.10.11.133,sport=54760,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.122,sport=6081,dport=54760)
udp,orig=(src=65.10.11.133,dst=65.10.11.33,sport=24852,dport=6081),reply=(src=65.10.11.33,dst=65.10.11.133,sport=6081,dport=24852)
udp,orig=(src=65.10.11.133,dst=65.10.18.28,sport=24621,dport=6081),reply=(src=65.10.18.28,dst=65.10.11.133,sport=6081,dport=24621)
udp,orig=(src=65.10.11.105,dst=65.10.11.133,sport=55830,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.105,sport=6081,dport=55830)
udp,orig=(src=65.10.11.65,dst=65.10.11.133,sport=58616,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.65,sport=6081,dport=58616)
udp,orig=(src=65.10.11.71,dst=65.10.11.133,sport=63673,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.71,sport=6081,dport=63673)
udp,orig=(src=65.10.11.133,dst=65.10.11.115,sport=28563,dport=6081),reply=(src=65.10.11.115,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.10.211,sport=23997,dport=6081),reply=(src=65.10.10.211,dst=65.10.11.133,sport=6081,dport=23997)
udp,orig=(src=65.10.11.133,dst=65.10.11.8,sport=28563,dport=6081),reply=(src=65.10.11.8,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.5,sport=5914,dport=6081),reply=(src=65.10.11.5,dst=65.10.11.133,sport=6081,dport=5914)
udp,orig=(src=65.10.11.133,dst=65.10.11.36,sport=28563,dport=6081),reply=(src=65.10.11.36,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.65,sport=23642,dport=6081),reply=(src=65.10.11.65,dst=65.10.11.133,sport=6081,dport=23642)
udp,orig=(src=65.10.11.133,dst=65.10.11.41,sport=28563,dport=6081),reply=(src=65.10.11.41,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.10.201,sport=16241,dport=6081),reply=(src=65.10.10.201,dst=65.10.11.133,sport=6081,dport=16241)
udp,orig=(src=65.10.11.133,dst=65.10.11.106,sport=46647,dport=6081),reply=(src=65.10.11.106,dst=65.10.11.133,sport=6081,dport=46647)
udp,orig=(src=65.10.11.133,dst=65.10.11.51,sport=20832,dport=6081),reply=(src=65.10.11.51,dst=65.10.11.133,sport=6081,dport=20832)
udp,orig=(src=65.10.11.133,dst=65.10.11.166,sport=2039,dport=6081),reply=(src=65.10.11.166,dst=65.10.11.133,sport=6081,dport=2039)
udp,orig=(src=65.10.11.156,dst=65.10.11.133,sport=425,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.156,sport=6081,dport=425)
udp,orig=(src=65.10.11.138,dst=65.10.11.133,sport=49449,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.138,sport=6081,dport=49449)
udp,orig=(src=65.10.11.133,dst=65.10.11.2,sport=46495,dport=6081),reply=(src=65.10.11.2,dst=65.10.11.133,sport=6081,dport=46495)
udp,orig=(src=65.10.11.133,dst=65.10.11.58,sport=50643,dport=6081),reply=(src=65.10.11.58,dst=65.10.11.133,sport=6081,dport=50643)
udp,orig=(src=65.10.11.133,dst=65.10.18.33,sport=36695,dport=6081),reply=(src=65.10.18.33,dst=65.10.11.133,sport=6081,dport=36695)
udp,orig=(src=65.10.11.2,dst=65.10.11.133,sport=55002,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.2,sport=6081,dport=55002)
udp,orig=(src=65.10.11.107,dst=65.10.11.133,sport=50054,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.107,sport=6081,dport=50054)
udp,orig=(src=20.20.117.248,dst=20.20.0.1,sport=54125,dport=53),reply=(src=20.20.0.1,dst=20.20.117.248,sport=53,dport=54125)
udp,orig=(src=65.10.10.231,dst=65.10.11.133,sport=51415,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.231,sport=6081,dport=51415)
udp,orig=(src=65.10.11.66,dst=65.10.11.133,sport=53664,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.66,sport=6081,dport=53664)
udp,orig=(src=65.10.11.133,dst=65.10.11.17,sport=40853,dport=6081),reply=(src=65.10.11.17,dst=65.10.11.133,sport=6081,dport=40853)
udp,orig=(src=65.10.11.133,dst=65.10.10.225,sport=28563,dport=6081),reply=(src=65.10.10.225,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.112,sport=63543,dport=6081),reply=(src=65.10.11.112,dst=65.10.11.133,sport=6081,dport=63543)
udp,orig=(src=65.10.10.247,dst=65.10.11.133,sport=62065,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.247,sport=6081,dport=62065)
udp,orig=(src=65.10.11.133,dst=65.10.10.194,sport=2653,dport=6081),reply=(src=65.10.10.194,dst=65.10.11.133,sport=6081,dport=2653)
udp,orig=(src=65.10.11.133,dst=65.10.11.99,sport=42582,dport=6081),reply=(src=65.10.11.99,dst=65.10.11.133,sport=6081,dport=42582)
udp,orig=(src=65.10.11.133,dst=65.10.10.239,sport=4150,dport=6081),reply=(src=65.10.10.239,dst=65.10.11.133,sport=6081,dport=4150)
udp,orig=(src=65.10.11.70,dst=65.10.11.133,sport=54385,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.70,sport=6081,dport=54385)
udp,orig=(src=65.10.11.133,dst=65.10.11.6,sport=54768,dport=6081),reply=(src=65.10.11.6,dst=65.10.11.133,sport=6081,dport=54768)
udp,orig=(src=65.10.11.133,dst=65.10.10.203,sport=41690,dport=6081),reply=(src=65.10.10.203,dst=65.10.11.133,sport=6081,dport=41690)
udp,orig=(src=65.10.11.133,dst=65.10.18.165,sport=22613,dport=6081),reply=(src=65.10.18.165,dst=65.10.11.133,sport=6081,dport=22613)
udp,orig=(src=65.10.11.135,dst=65.10.11.133,sport=12297,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.135,sport=6081,dport=12297)
udp,orig=(src=65.10.11.133,dst=65.10.11.143,sport=23923,dport=6081),reply=(src=65.10.11.143,dst=65.10.11.133,sport=6081,dport=23923)
udp,orig=(src=65.10.11.58,dst=65.10.11.133,sport=53906,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.58,sport=6081,dport=53906)
udp,orig=(src=65.10.11.133,dst=65.10.11.36,sport=30187,dport=6081),reply=(src=65.10.11.36,dst=65.10.11.133,sport=6081,dport=30187)
udp,orig=(src=65.10.11.133,dst=65.10.11.97,sport=3457,dport=6081),reply=(src=65.10.11.97,dst=65.10.11.133,sport=6081,dport=3457)
udp,orig=(src=65.10.11.133,dst=65.10.10.188,sport=28563,dport=6081),reply=(src=65.10.10.188,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.168,sport=28563,dport=6081),reply=(src=65.10.11.168,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.10.218,dst=65.10.11.133,sport=58758,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.218,sport=6081,dport=58758)
udp,orig=(src=65.10.11.133,dst=65.10.10.219,sport=28563,dport=6081),reply=(src=65.10.10.219,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.173,sport=26420,dport=6081),reply=(src=65.10.11.173,dst=65.10.11.133,sport=6081,dport=26420)
udp,orig=(src=65.10.11.133,dst=65.10.11.182,sport=28563,dport=6081),reply=(src=65.10.11.182,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.68,sport=27805,dport=6081),reply=(src=65.10.11.68,dst=65.10.11.133,sport=6081,dport=27805)
udp,orig=(src=65.10.11.133,dst=65.10.11.4,sport=41369,dport=6081),reply=(src=65.10.11.4,dst=65.10.11.133,sport=6081,dport=41369)
udp,orig=(src=65.10.11.133,dst=65.10.11.114,sport=28563,dport=6081),reply=(src=65.10.11.114,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.27,sport=3892,dport=6081),reply=(src=65.10.11.27,dst=65.10.11.133,sport=6081,dport=3892)
udp,orig=(src=65.10.11.80,dst=65.10.11.133,sport=62102,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.80,sport=6081,dport=62102)
udp,orig=(src=65.10.11.37,dst=65.10.11.133,sport=58862,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.37,sport=6081,dport=58862)
udp,orig=(src=65.10.11.133,dst=65.10.11.138,sport=28563,dport=6081),reply=(src=65.10.11.138,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.48,sport=28563,dport=6081),reply=(src=65.10.11.48,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.10.227,dst=65.10.11.133,sport=52486,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.227,sport=6081,dport=52486)
udp,orig=(src=65.10.11.133,dst=65.10.11.14,sport=28563,dport=6081),reply=(src=65.10.11.14,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.87,sport=11135,dport=6081),reply=(src=65.10.11.87,dst=65.10.11.133,sport=6081,dport=11135)
udp,orig=(src=65.10.18.129,dst=65.10.11.133,sport=20363,dport=6081),reply=(src=65.10.11.133,dst=65.10.18.129,sport=6081,dport=20363)
udp,orig=(src=65.10.11.133,dst=65.10.11.80,sport=28563,dport=6081),reply=(src=65.10.11.80,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.18.58,sport=10679,dport=6081),reply=(src=65.10.18.58,dst=65.10.11.133,sport=6081,dport=10679)
udp,orig=(src=65.10.11.133,dst=65.10.11.122,sport=61878,dport=6081),reply=(src=65.10.11.122,dst=65.10.11.133,sport=6081,dport=61878)
udp,orig=(src=65.10.11.86,dst=65.10.11.133,sport=61143,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.86,sport=6081,dport=61143)
udp,orig=(src=65.10.11.133,dst=65.10.10.244,sport=54945,dport=6081),reply=(src=65.10.10.244,dst=65.10.11.133,sport=6081,dport=54945)
udp,orig=(src=65.10.11.133,dst=65.10.10.223,sport=57310,dport=6081),reply=(src=65.10.10.223,dst=65.10.11.133,sport=6081,dport=57310)
udp,orig=(src=65.10.18.77,dst=65.10.11.133,sport=48852,dport=6081),reply=(src=65.10.11.133,dst=65.10.18.77,sport=6081,dport=48852)
udp,orig=(src=65.10.10.254,dst=65.10.11.133,sport=58346,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.254,sport=6081,dport=58346)
udp,orig=(src=65.10.11.133,dst=65.10.10.250,sport=28563,dport=6081),reply=(src=65.10.10.250,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.125,dst=65.10.11.133,sport=58721,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.125,sport=6081,dport=58721)
udp,orig=(src=65.10.11.133,dst=65.10.11.62,sport=28563,dport=6081),reply=(src=65.10.11.62,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.121,dst=65.10.11.133,sport=57520,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.121,sport=6081,dport=57520)
udp,orig=(src=65.10.11.133,dst=65.10.11.26,sport=22701,dport=6081),reply=(src=65.10.11.26,dst=65.10.11.133,sport=6081,dport=22701)
udp,orig=(src=65.10.11.133,dst=65.10.11.156,sport=35162,dport=6081),reply=(src=65.10.11.156,dst=65.10.11.133,sport=6081,dport=35162)
udp,orig=(src=65.10.11.133,dst=65.10.10.208,sport=19312,dport=6081),reply=(src=65.10.10.208,dst=65.10.11.133,sport=6081,dport=19312)
udp,orig=(src=65.10.11.133,dst=65.10.10.217,sport=19991,dport=6081),reply=(src=65.10.10.217,dst=65.10.11.133,sport=6081,dport=19991)
udp,orig=(src=65.10.11.133,dst=65.10.11.150,sport=38453,dport=6081),reply=(src=65.10.11.150,dst=65.10.11.133,sport=6081,dport=38453)
udp,orig=(src=65.10.11.56,dst=65.10.11.133,sport=51970,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.56,sport=6081,dport=51970)
udp,orig=(src=65.10.10.252,dst=65.10.11.133,sport=64122,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.252,sport=6081,dport=64122)
udp,orig=(src=65.10.11.133,dst=65.10.11.73,sport=1877,dport=6081),reply=(src=65.10.11.73,dst=65.10.11.133,sport=6081,dport=1877)
